Período,Média anual,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
1997 ,63.1,71.2,68.5,60.7,57.7,54.2,48.6,62.5,62.9,61.4,70.5,73.4,66.2
1998 ,66.2,75.0,70.5,69.0,70.1,61.6,58.6,61.9,65.6,63.0,65.8,68.4,64.9
1999 ,68.4,71.1,70.2,63.9,65.0,60.7,57.4,68.1,65.1,62.3,67.5,72.9,64.1
2000 ,70.0,77.7,70.8,75.3,76.2,63.4,59.0,68.7,69.3,65.7,73.4,75.9,65.8
2001 ,66.6,76.4,73.7,68.4,66.3,59.2,56.4,69.1,65.2,61.9,68.4,70.5,64.1
2002 ,61.7,70.7,67.3,60.6,57.0,52.7,51.2,63.5,67.0,66.2,58.8,64.9,60.6
2003 ,60.9,69.3,68.2,70.3,59.4,54.8,51.6,61.5,58.6,57.9,56.8,65.3,57.2
2004 ,61.8,63.4,70.6,63.8,59.3,58.5,52.2,55.9,60.4,62.2,66.2,70.8,57.7
2005 ,59.6,62.7,60.7,63.9,61.3,53.4,54.5,57.0,58.1,55.1,66.1,64.7,58.4
2006 ,63.1,64.6,68.3,70.5,64.6,55.1,53.7,56.6,59.2,62.1,65.1,76.1,60.8
2007 ,63.0,65.3,57.3,61.3,62.0,55.1,55.4,65.1,67.0,63.1,70.7,71.3,62.2
2008 ,65.9,67.9,69.3,68.4,58.2,58.9,62.3,63.7,65.1,67.2,70.1,76.0,63.6
2009 ,68.8,68.2,69.3,73.8,68.6,58.9,62.5,70.4,66.1,69.6,73.1,76.7,68.2
2010 ,73.8,79.5,74.8,79.5,71.9,69.2,63.1,68.7,74.9,77.4,74.1,81.5,70.4
2011 ,79.1,77.7,79.1,81.1,78.6,75.8,70.4,77.8,80.1,80.8,81.7,87.5,78.2
2012 ,77.0,82.1,78.3,83.5,80.7,72.9,75.1,75.3,75.6,74.3,75.7,79.0,71.2
2013 ,71.9,75.6,74.1,76.5,70.4,66.0,67.5,65.6,73.9,74.0,77.4,77.8,63.5
2014 ,72.4,73.8,66.5,74.0,70.5,70.8,83.6,78.7,65.3,69.9,71.8,78.2,65.4
2015 ,66.0,67.0,63.0,65.0,65.0,62.0,60.0,65.0,63.0,63.0,68.0,67.0,61.0
2016 ,58.0,71.0,67.0,69.0,60.0,47.0,50.0,55.0,76.0,54.0,49.0,52.0,51.0
2017 ,51.9,64.0,58.0,54.0,49.0,41.0,39.0,43.0,47.0,60.0,53.0,57.0,58.0
